PXLVAL,clipped2017data,2017
"1",4860.206,"4860"
"1",1215.051,"1215"
"1",936194.755,"936195"
"1",607.521,"608"
"1",85660.416,"85660"
"1",2430.079,"2430"
"1",218099.757,"218100"
"1",4860.156,"4860"
"1",607.519,"608"
"1",607.519,"608"
"1",7897.741,"7898"
"1",52854.097,"52854"
"1",20048.08,"20048"
"1",1822.552,"1823"
"1",607.517,"608"
"1",44348.734,"44349"
"1",3645.096,"3645"
"1",607.516,"608"
"1",18832.997,"18833"
"1",3037.576,"3038"
"1",38273.44,"38273"
"1",1822.545,"1823"
"1",607.515,"608"
"1",38273.423,"38273"
"1",607.514,"608"
"1",607.514,"608"
"1",78369.24,"78369"
"1",3645.075,"3645"
"1",25515.513,"25516"
"1",1822.533,"1823"
"1",4860.088,"4860"
"1",1215.02,"1215"
"1",58320.98,"58321"
"1",607.509,"608"
"1",569846.991,"569847"
"1",19440.294,"19440"
"1",607.509,"608"
"1",31590.461,"31590"
"1",607.509,"608"
"1",607.509,"608"
"1",1822.524,"1823"
"1",25515.337,"25515"
"1",5467.572,"5468"
"1",3645.039,"3645"
"1",3037.531,"3038"
"1",4860.049,"4860"
"1",607.505,"608"
"1",18832.661,"18833"
"1",3037.523,"3038"
"1",4517427.629,"4517428"
"1",3868630.211,"3868630"
"1",177999.451,"177999"
"1",2179745.315,"2179745"
"1",12757.582,"12758"
"1",8505.052,"8505"
"1",1822.511,"1823"
"1",4860.026,"4860"
"1",607.503,"608"
"1",607.503,"608"
"1",4860.023,"4860"
"1",39487.633,"39488"
"1",21262.564,"21263"
"1",440439.651,"440440"
"1",34020.138,"34020"
"1",607.502,"608"
"1",3645.008,"3645"
"1",4860.009,"4860"
"1",1822.504,"1823"
"1",23085.034,"23085"
"1",1278796.589,"1278797"
"1",72900.084,"72900"
"1",18225.002,"18225"
"1",10327.496,"10327"
"1",1822.498,"1822"
"1",1214.999,"1215"
"1",37057.476,"37057"
"1",4859.992,"4860"
"1",607.498,"607"
"1",105704.636,"105705"
"1",54067.319,"54067"
"1",1214.995,"1215"
"1",1822.492,"1822"
"1",3037.486,"3037"
"1",150659.472,"150659"
"1",15794.923,"15795"
"1",607.497,"607"
"1",43132.214,"43132"
"1",607.496,"607"
"1",211408.846,"211409"
"1",46169.662,"46170"
"1",607.495,"607"
"1",332301.399,"332301"
"1",106311.796,"106312"
"1",607.495,"607"
"1",4860.669,"4861"
"1",4860.666,"4861"
"1",2430.33,"2430"
"1",252753.984,"252754"
"1",5468.223,"5468"
"1",4253.059,"4253"
"1",10328.814,"10329"
"1",15796.942,"15797"
"1",337203.956,"337204"
"1",1215.146,"1215"
"1",9113.592,"9114"
"1",607.571,"608"
"1",3037.852,"3038"
"1",1215.134,"1215"
"1",3037.805,"3038"
"1",2430.244,"2430"
"1",3645.361,"3645"
"1",1822.679,"1823"
"1",11543.604,"11544"
"1",136699.777,"136700"
"1",3645.32,"3645"
"1",607.552,"608"
"1",12151.047,"12151"
"1",3645.312,"3645"
"1",1822.654,"1823"
"1",607.551,"608"
"1",75336.371,"75336"
"1",607.55,"608"
"1",5467.949,"5468"
"1",10935.892,"10936"
"1",501835.956,"501836"
"1",1822.632,"1823"
"1",607.544,"608"
"1",2430.175,"2430"
"1",1215.081,"1215"
"1",1215.079,"1215"
"1",23102449.434,"23102449"
"1",6075.395,"6075"
"1",111179.713,"111180"
"1",3645.231,"3645"
"1",11543.231,"11543"
"1",2430.153,"2430"
"1",15188.465,"15188"
"1",2430.153,"2430"
"1",19441.22,"19441"
"1",1822.614,"1823"
"1",607.538,"608"
"1",10328.138,"10328"
"1",419201.724,"419202"
"1",96598.438,"96598"
"1",2430.148,"2430"
"1",607.537,"608"
"1",607.536,"608"
"1",3037.68,"3038"
"1",607.536,"608"
"1",78372.13,"78372"
"1",3645.208,"3645"
"1",17618.473,"17618"
"1",607.533,"608"
"1",607.533,"608"
"1",6075.325,"6075"
"1",1215.065,"1215"
"1",4860.257,"4860"
"1",1822.594,"1823"
"1",6682.844,"6683"
"1",40704.597,"40705"
"1",607.53,"608"
"1",607.53,"608"
"1",3645.177,"3645"
"1",1822.587,"1823"
"1",607.529,"608"
"1",2430.114,"2430"
"1",607.528,"608"
"1",607.528,"608"
"1",1822.585,"1823"
"1",607.528,"608"
"1",3645.169,"3645"
"1",8505.393,"8505"
"1",1822.583,"1823"
"1",1215.054,"1215"
"1",1822.581,"1823"
"1",10935.481,"10935"
"1",607.527,"608"
"1",2430.107,"2430"
"1",607.527,"608"
"1",1215.053,"1215"
"1",63790.275,"63790"
"1",97204.245,"97204"
"1",1215.052,"1215"
"1",607.526,"608"
"1",6528525.379,"6528525"
"1",3645.153,"3645"
"1",3645.153,"3645"
"1",607.525,"608"
"1",4860.193,"4860"
"1",8505.341,"8505"
"1",3645.142,"3645"
"1",6682.762,"6683"
"1",3037.619,"3038"
"1",341429.214,"341429"
"1",3178595.22,"3178595"
"1",13365.508,"13366"
"1",7897.798,"7898"
"1",4860.181,"4860"
"1",3645.134,"3645"
"1",10327.881,"10328"
"1",607.522,"608"
"1",2430.088,"2430"
"1",607.522,"608"
"1",386992.218,"386992"
"1",607.522,"608"
"1",3037.609,"3038"
"1",1822.564,"1823"
"1",287965.106,"287965"
"1",8505.291,"8505"
"1",9720.325,"9720"
"1",5467.681,"5468"
"1",879690.409,"879690"
"1",1215.036,"1215"
"1",3645.108,"3645"
"1",105708.138,"105708"
"1",3645.106,"3645"
"1",8505.244,"8505"
"1",607.517,"608"
"1",607.517,"608"
"1",86874.954,"86875"
"1",1822.551,"1823"
"1",6682.684,"6683"
"1",1215.033,"1215"
"1",213238.616,"213239"
"1",3713773.405,"3713773"
"1",607.516,"608"
"1",607.515,"608"
"1",1530338.393,"1530338"
"1",5467.629,"5468"
"1",3645.084,"3645"
"1",7290.168,"7290"
"1",1822.541,"1823"
"1",2430.054,"2430"
"1",7897.676,"7898"
"1",1215.027,"1215"
"1",6075.134,"6075"
"1",607.513,"608"
"1",7897.67,"7898"
"1",1215.024,"1215"
"1",7419652.145,"7419652"
"1",1921568.506,"1921569"
"1",1215.023,"1215"
"1",2430.045,"2430"
"1",607.511,"608"
"1",1215.022,"1215"
"1",18225.331,"18225"
"1",10327.685,"10328"
"1",7290.131,"7290"
"1",1215.021,"1215"
"1",4061246.749,"4061247"
"1",607.509,"608"
"1",607.509,"608"
"1",3037.543,"3038"
"1",1822.525,"1823"
"1",607.508,"608"
"1",40703.07,"40703"
"1",607.508,"608"
"1",2430.032,"2430"
"1",3037.539,"3038"
"1",4860.061,"4860"
"1",1215.015,"1215"
"1",2430.023,"2430"
"1",403992.606,"403993"
"1",607.505,"608"
"1",607.504,"608"
"1",82620.559,"82621"
"1",21262.633,"21263"
"1",1215.006,"1215"
"1",607.503,"608"
"1",607.503,"608"
"1",3037.511,"3038"
"1",14580.056,"14580"
"1",607.502,"608"
"1",2430.008,"2430"
"1",3645.011,"3645"
"1",1822.505,"1823"
"1",3645.009,"3645"
"1",1215.003,"1215"
"1",10935.025,"10935"
"1",54675.119,"54675"
"1",5467.512,"5468"
"1",1215.002,"1215"
"1",607.501,"608"
"1",6075.011,"6075"
"1",3645.004,"3645"
"1",607.501,"608"
"1",607.5,"608"
"1",12614966.212,"12614966"
"1",607.5,"608"
"1",3037.501,"3038"
"1",1822.5,"1823"
"1",158557.778,"158558"
"1",18224.998,"18225"
"1",1822.498,"1822"
"1",172530.024,"172530"
"1",21869.971,"21870"
"1",2429.998,"2430"
"1",607.499,"607"
"1",607.499,"607"
"1",4476089.419,"4476089"
"1",179212.325,"179212"
"1",1822.496,"1822"
"1",1822.496,"1822"
"1",12757.465,"12757"
"1",607.498,"607"
"1",481139.557,"481140"
"1",13972.454,"13972"
"1",6074.979,"6075"
"1",10934.96,"10935"
"1",607.498,"607"
"1",607.497,"607"
"1",1822.491,"1822"
"1",576515.592,"576516"
"1",1214.994,"1215"
"1",651845.076,"651845"
"1",6074.961,"6075"
"1",7133283.552,"7133284"
"1",3408072.749,"3408073"
"1",67432.006,"67432"
"1",12458065.248,"12458065"
"1",117246.671,"117247"
"1",6274852.812,"6274853"
"1",3037.475,"3037"
"1",607.495,"607"
"1",13972.376,"13972"
"1",2429.979,"2430"
"1",607.495,"607"
"1",607.494,"607"
"1",607.494,"607"
"1",607.494,"607"
"1",1214.987,"1215"
"1",395478.429,"395478"
"1",607.492,"607"
"1",1822.476,"1822"
"1",1822.476,"1822"
"1",607.492,"607"
"1",59534.269,"59534"
"1",737494.323,"737494"
"1",6682.391,"6682"
"1",607.49,"607"
"1",1822.469,"1822"
"1",607.489,"607"
"1",607.489,"607"
"1",607.489,"607"
"1",607.489,"607"
"1",1002966.655,"1002967"
"1",607.488,"607"
"1",1822.465,"1822"
"1",607.488,"607"
"1",94160.691,"94161"
"1",19439.616,"19440"
"1",7897.34,"7897"
"1",607.487,"607"
"1",1813355.004,"1813355"
"1",607.486,"607"
"1",607.485,"607"
"1",957399.951,"957400"
"1",607.485,"607"
"1",2429.939,"2430"
"1",21869.447,"21869"
"1",4859.874,"4860"
"1",607.484,"607"
"1",10327.219,"10327"
"1",11542.17,"11542"
"1",6074.824,"6075"
"1",607.482,"607"
"1",1214.961,"1215"
"1",607.48,"607"
"1",2292650.22,"2292650"
"1",1168804.665,"1168805"
"1",1962790.004,"1962790"
"1",10327.129,"10327"
"1",607.478,"607"
"1",607.478,"607"
"1",607.477,"607"
"1",25514.054,"25514"
"1",12757.021,"12757"
"1",7897.204,"7897"
"1",1214.95,"1215"
"1",607.474,"607"
"1",1214.948,"1215"
"1",607.474,"607"
"1",4252.316,"4252"
"1",17009.259,"17009"
"1",607.473,"607"
"1",1559392.714,"1559393"
"1",1134766.939,"1134767"
"1",607.472,"607"
"1",6074.721,"6075"
"1",17009.21,"17009"
"1",2034428.347,"2034428"
"1",7289.655,"7290"
"1",607.471,"607"
"1",13364.36,"13364"
"1",607.47,"607"
"1",250277.807,"250278"
"1",1214.94,"1215"
"1",607.47,"607"
"1",17009.143,"17009"
"1",607.468,"607"
"1",607.468,"607"
"1",35233.159,"35233"
"1",607.468,"607"
"1",607.468,"607"
"1",4252.272,"4252"
"1",607.468,"607"
"1",1822.402,"1822"
"1",607.467,"607"
"1",1822.401,"1822"
"1",1214.933,"1215"
"1",2412866.831,"2412867"
"1",20046.354,"20046"
"1",5118540.761,"5118541"
"1",6074.603,"6075"
"1",2429.835,"2430"
"1",607.457,"607"
"1",55278.656,"55279"
"1",46774.217,"46774"
"1",607.455,"607"
"1",607.455,"607"
"1",658486.345,"658486"
"1",8504.355,"8504"
"1",2429.814,"2430"
"1",3644.721,"3645"
"1",286110.787,"286111"
"1",53455.829,"53456"
"1",4859.604,"4860"
"1",607.45,"607"
"1",54670.313,"54670"
"1",2429.784,"2430"
"1",10934.01,"10934"
"1",62566.548,"62567"
"1",607.442,"607"
"1",607.442,"607"
"1",5466.972,"5467"
"1",22475.316,"22475"
"1",3644.644,"3645"
"1",1106157.857,"1106158"
"1",1214.88,"1215"
"1",607.44,"607"
"1",607.44,"607"
"1",607.439,"607"
"1",607.437,"607"
"1",110553.374,"110553"
"1",1822.304,"1822"
"1",607.434,"607"
"1",7289.209,"7289"
"1",3037.167,"3037"
"1",1822.285,"1822"
"1",3037.135,"3037"
"1",607.425,"607"
"1",3037.114,"3037"
"1",607.422,"607"
"1",257546.95,"257547"
"1",1214.84,"1215"
"1",1112198.424,"1112198"
"1",1822.26,"1822"
"1",6681.617,"6682"
"1",5466.779,"5467"
"1",607.419,"607"
"1",23689.269,"23689"
"1",607.417,"607"
"1",607.417,"607"
"1",19999174.29,"19999174"
"1",68638.027,"68638"
"1",607.414,"607"
"1",607.414,"607"
"1",3644.485,"3644"
"1",607.414,"607"
"1",607.414,"607"
"1",607.413,"607"
"1",2429.653,"2430"
"1",881362.862,"881363"
"1",607.412,"607"
"1",1214.824,"1215"
"1",607.412,"607"
"1",41911.425,"41911"
